,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
83,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Main Switchboard 416-535-8501 ; Access CAMH 416-535-8501 ext 2 ; Metro Addiction Assessment Referral Service (MAARS) 416-599-1448 ; Information Centre (English; French) 416-595-6111 ; Inpatient Services 416-535-8501 ext 30379 ; Outpatient Services 416-535-8501 ext 36878,,www.camh.ca,"1001 Queen St W
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,"Administration -- Mon-Fri 9 am-5 pm * <b>Information Centre</b> -- Mon-Fri 9 am-5 pm, voice mail after hours * <b>Library and Archive</b> -- Mon-Fri 11 am-3 pm * closed statutory holidays",See specific programs for details,English ; French - Information Centre ; Programs and services - interpretation and translation services available for French and other languages,"Inpatient and most outpatient services require referral from physician, hospital or community agency * no referral required for addiction assessment and treatment * adult referral form available online * call, or visit website for information","Mental health and addiction assessment and treatment hospital * clinical and community-based programs (see branch entries for details) * education, training and research<br><br>

<b>Client/Patient Relations</b>, 416-535-8501 ext 32028 -- feedback, questions or complaints regarding CAMH programs and services<br><br>

<b>Information Centre</b>, 416-595-6111, 1-800-463-6273 (Ontario only), info@camh.ca -- general information on addiction and mental health<br><br>

<b>Library and Archive</b>, 416-535-8501 ext 36991, library@camh.ca -- addictions and mental health library * circulating collection, reference materials and archives * audio-visual and print resources * <b>Reference Service/Ask a Librarian</b> -- call 416-535-8501 ext 36988, or submit requests by mail, email or in person<br><br>

<b>Provincial System Support Program</b> -- education and support for program development, health promotion and prevention through 8 regional offices (visit website for details) * psychiatric outreach to communities in Ontario -- includes Northern Psychiatric Outreach Program (NPOP-C), 416-535-8501 ext 34484",42104
84,Scadding Court Community Centre,(50) Non Profit ; (51) Registered Charity,416-392-0335,,www.scaddingcourt.org,"707 Dundas St W
Toronto, ON     M5T 2W6","Kensington-Chinatown, 78",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Fri 9 am-4 pm<br><br>

<b>Summer closing</b> -- facilities closed for 2 weeks annual maintenance and reopens the Tuesday after Labour Day * <b>Winter closing</b> -- yearly December 25 to January 1 inclusive","Newly arrived immigrants, Convention refugees and permanent residents",English ; Burmese ; Chinese (Cantonese) ; Chinese (Mandarin),"Call or visit, with copy of landing paper or Permanent Resident Card","Information and referral on settlement issues including social assistance, language instruction, housing, education, recreation, health, employment * form filling * liaison with social assistance offices * interpretation and translation * information and orientation workshops * income tax clinic<br><br>

Newcomer Youth Program -- for youth 13-16 years * recreational activities * leadership training * referral and counselling * leadership training * educational workshops",42432
85,Delisle Youth Services,(50) Non Profit ; (51) Registered Charity,416-923-7440,info@delisleyouth.org,www.delisleyouth.org,,,Not Accessible,Mon-Sun 24 hours,"Youth 13-18 years requiring residential placement due to family breakdown, physical or sexual abuse, emotional trauma or mental illness",English,For referral call Centralized Access to Residential Services (CARS) at 416-482-7884,Treatment centre * family counselling * precare and follow up * capacity 8,42334
86,Catholic Children's Aid Society of Toronto,(50) Non Profit ; (51) Registered Charity,416-395-1500,communications@torontoccas.org,www.torontoccas.org,"1880 Birchmount Rd
Toronto, ON     M1P 2J7","Wexford-Maryvale, 119",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,,,English ; French ; Italian ; Portuguese ; Spanish,Call to report child abuse or neglect,"Counselling for children, youth and their families * supervised access for separated families * parenting education and support",41807
87,Arrabon House,(50) Non Profit ; (51) Registered Charity,416-536-7037,karenprosper@rogers.com,www.arrabonhouse.org,"29 Wilson Park Rd
Toronto, ON     M6K 3B6","South Parkdale, 85",Not Accessible ; Designated parking at entrance - also street parking,Mon-Sun 24 hours,"Young women 13-18 years experiencing family conflict, mental health, behavioural and emotional issues, or survivors of physical or sexual abuse",English ; Will assist in finding interpreters for other languages,Contact intake worker at 416-536-7037 or referring worker can contact Centralized Access to Residential Services (CARS) at 416-482-7884,"Long term residential treatment program in group home environment * capacity 7 * links with counselling services, community health, education, employment, life skills training and recreation programs * aftercare program",42403
88,Family Outreach and Response Program,(50) Non Profit ; (51) Registered Charity,416-539-9449,gillian_gray@fmhr.org,www.familymentalhealthrecovery.org,"2333 Dundas St W, Ste 501
Toronto, ON     M6R 3A6","High Park-Swansea, 87",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Fri 9 am-5 pm * individual counselling, support groups and educational events 6:30 pm-8:30 pm","Youth and adults 16 years and older, who are family or friends of people recovering from serious mental health issues",English ; Somali ; Tamil,Call for appointment,Family initiative * individual support * home visits * information and referral * support groups * educational events * community work,42216
89,Central Toronto Community Health Centres,(50) Non Profit ; (51) Registered Charity,Administration 416-703-8482 * Health Services 416-703-8480,,www.ctchc.com,"168 Bathurst St
Toronto, ON     M5V 2R4","Niagara, 82",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator,"<b>Office </b>-- Mon, Wed-Fri 9 am-4 pm; Tue 1:30 pm-4 pm<br><br>

<b>Medical services</b> -- Mon, Wed-Thu 8 am-8 pm; Tue 1:30 pm-8 pm (1st Tue of each month 8 am-8 pm); Fri 8 am-5 pm * by appointment only before 9 am and after 4 pm","Must live in catchment area * no catchment area restrictions for homeless or underhoused people, or for dental or harm reduction services",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Portuguese ; Spanish,"Call ahead if possible, or drop in to book an intake appointment","Complete medical services -- <b>Queen West Clinic</b> * no Ontario Health Insurance required for general services * well baby care and well woman care * early years and perinatal program * nutrition * health education * visits to homebound clients * dental care including dentures * diabetes education program * foot care for seniors and people with diabetes * naturopath * Aboriginal wellness program  * mental health counselling * housing supports * income tax clinic * ID clinic * youth employment supports * <b>Harm Reduction Services </b>-- education * anonymous HIV testing by appointment * needle exchange * Hepatitis C program * one-to-one counselling, referrals and advocacy Monday to Friday 1:30 pm-3:30 pm * street outreach",42075
90,Yorktown Child and Family Centre,(50) Non Profit,416-394-2424,info@yorktownfamilyservices.com,www.yorktownfamilyservices.com,"2010 Eglinton Ave W, Ste 300
Toronto, ON     M6E 2K3","Briar Hill-Belgravia, 108","Wheelchair accessible automatic main entrance ; Easy access to elevator - side door ; Elevator with lowered buttons ; Wheelchair accessible washroom, assistance needed with door","Mon, Thu 2 pm-6 pm; Tue, Fri 10 am-2 pm; Wed 4 pm-8 pm * clients must arrive no later than 1 hour prior to closing to attend a counselling session",Children and youth birth-18 years and their families * does not serve individual adults * does not offer crisis services,English ; Interpreters available by telephone for other languages ; Translation services available on request,Walk in * no appointment needed * last session begins 1 hour prior to closing,"Single session counselling offered by family therapists and social workers to address concerns such as parent-child conflict, difficulties at school, behaviour management, peer problems, issues related to separation and divorce, psycho-social adjustment, anxiety, depression * referral to other Yorktown services (for residents of the former City of York) or to essential services in other neighbourhoods<br><br>

In partnership with East Metro Youth Services, and Etobicoke Children's Centre and Oolagen Community Services -- see separate entries",42276
91,Scarborough Hospital,(50) Non Profit,416-495-2891,skirkup@tsh.to,TSH.to,"3030 Birchmount Rd, 3rd Fl
Toronto, ON     M1W 3W3","L'Amoreaux, 117",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Telephone service -- Mon-Sun 24 hours * Community home visits -- Mon-Fri 12 noon-8 pm,Persons 16 years and older with a serious mental illness experiencing an emotional or psychiatric crisis,English ; Interpretive services,,Telephone crisis line * community crisis response in the home or other community setting * crisis follow-up services,42373
92,La Passerelle IDE,(50) Non Profit,416-934-0588,info@passerelle-ide.com,www.passerelle-ide.com,"2 Carlton St, West Mezzanine
Toronto, ON     M5B 1J3","Church-Yonge Corridor, 75",Designated parking at entrance - garage entrance from Wood St ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,"Ages: 18 year(s) - 35 year(s)

Francophone youth and young adults from all cultural origins",French,"Call, drop in or visit the website","<b>Employment program</b> -- luncheon meetings about employability * counselling and mentoring * information and referral <br> <br>
 
<b>Business and Business Plus programs</b> -- entrepreneurship, business acumen and economic development * networking evenings <br><br>

<b>Cultural skills program</b> -- cultural skills training for francophone newcomers and francophone employers * supports for academic success for youth 15-25 years old <br><br>

Information for youth on French-language health services * culturally sensitive workshops on HIV/AIDS prevention * IKUEN community kitchen for young francophone immigrant women",42328
93,Planned Parenthood Toronto,(50) Non Profit ; (51) Registered Charity,416-961-3200 ; Text only 647-933-5399,teenhealthsource@ppt.on.ca,teenhealthsource.com,,,Not Applicable,"Mon-Thu 4 pm-9 pm, Sat 12 noon-5 pm",Youth 13-19 years,English,"Call, email, instant message (teenhealthsource@ppt.on.ca), or text (647-933-5399) * online chat available at teenhealthsource.com","Confidential telephone and comprehensive online information and referral on sexual health issues such as relationships, puberty, sexuality, birth control, sexually transmitted infections * provided by trained peer volunteers * sex-positive, pro-choice, non-judgmental and inclusive approach",42408
94,Hincks-Dellcrest Centre,(50) Non Profit ; (51) Registered Charity,416-924-1164,info@hincksdellcrest.org,www.hincksdellcrest.org,"440 Jarvis St
Toronto, ON     M4Y 2H4","Church-Yonge Corridor, 75",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Washrooms not accessible ; Street parking,"Mon-Thu 8 am-8 pm, Fri 8 am-5 pm * after hours -- answering service for registered clients","Emotionally troubled children and youth birth-17 years, and their families",English,Contact Intake Worker,"Outpatient services * assessment * family, group and individual therapy * consultation to families and other service providers<br> <br> 

<b>Residential treatment</b> -- city and rural program (near Collingwood) for youth 12-18 years, including family support services * some <b>day treatment</b> * transitional program to assist reintegration into community schools * aftercare * community based family support programs",42040
95,Rouge Valley Health System,(50) Non Profit ; (51) Registered Charity,"25 Neilson, Pathways 416-208-0131 * Gatesview House 416-261-8584 * Shoniker Clinic, FITT 416-281-7301",,www.rougevalley.ca,,,Gatesview House is not wheelchair accessible,,,English,"Supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","<b>Supportive housing</b> for patients with serious mental illness, who are homeless or at risk of homelessness * Gatesview House -- capacity 6 * 25 Neilson -- capacity 30<br><br>
<b>Pathways</b> -- social recreational program for adults with serious mental illness * medication clinic<br><br>
<b>Shoniker Clinic</b> -- community mental health service for children, adolescents and their families<br><br>
<b>First Intervention Treatment Team (FITT)</b> -- for young adults under 35 years experiencing their first episode of psychosis",42368
96,Griffin Centre,(50) Non Profit ; (51) Registered Charity,416-222-3563,contact@griffincentre.org,www.griffincentre.org,"1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2","York University Heights, 27",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Sun 9 am-9 pm * after hours, call Gerstein Crisis Centre, Crisis Line 416-929-5200 -- see separate entry",Adults 16 years and older with a developmental disability or a dual diagnosis (developmental disability and serious mental health needs) * must not be in acute psychiatric or medical crisis,English ; Interpretation arranged for other languages,,"Short term, crisis and transitional supports and service planning * residential safe beds in high support settings, maximum 30 day stay * centralized telephone access for immediate consultation with network staff * on-site consultation and support from in-home, day program, and residential service network staff * time limited staffing support in social service settings<br>
<br>
In partnership with Gerstein Crisis Centre, Reconnect Mental Health Services, Surrey Place Centre and Aptus Treatment Centre (formerly MukiBaum Treatment Centres) -- see separate entries",42184
97,Hincks-Dellcrest Centre,(50) Non Profit ; (51) Registered Charity,416-924-1164 ext 8707 ; Workshops and seminars 416-924-1164 ext 3345,training@hincksdellcrest.org,www.hincksdellcrest.org,"114 Maitland St
Toronto, ON     M4Y 2H4","Church-Yonge Corridor, 75",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Street parking,,"Students and professionals in the fields of psychiatry, psychology and social work * parents and caregivers",English,"Call, email or visit website for information","Post-qualification (fellowship) training and research opportunities for graduates from psychiatry, psychology and social work * training seminars, workshops and consultation in the field of children's mental health * parenting webinars and seminars * training catalogue available online<br><br> 

<b>Brief Therapy Training Centres International</b> -- resource for training in brief and family therapy",42083
98,YMCA of Greater Toronto,(50) Non Profit ; (51) Registered Charity,416-928-3362 ext 22555,adela.colhon@ymcagta.org,www.ymcagta.org/gambling,"2200 Yonge St, Ste 300
Toronto, ON     M4S 2C6","Yonge-Eglinton, 100",Wheelchair accessible main office - assistance required,Mon-Fri 9 am-5 pm * flexible hours for presentations,Agencies working with children and youth 8-24 years,English ; French,,"Awareness education and prevention around gambling issues * developmentally appropriate presentations for 4 age groups (8-10 years, 11-14 years, 15-18 years, 19-24 years) * workshops for parents, guardians, role models and professionals involved in youth's lives, delivered at requesting party's location",42423
99,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Geriatric Central Intake and Referral 416-535-8501 ext 2875 ; PACE Central/East and PACE West 416-535-8501 ext 3448,,www.camh.ca,"Intergenerational Wellness Centre
80 Workman Way
Toronto, ON     M6J 1H4","Niagara, 82",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Adults 65 years and older with mental health and addiction problems * adults 60-64 years may be considered * may vary by program -- call for details or visit website,English ; Access to trained interpreters available for French and other languages,Physician referral preferred but not required for most programs -- contact Geriatric Central Intake and Referral * Adult Referral Form available on website,"Assessment, treatment, consultation, and community follow-up * inpatient and outpatient services * Geriatric Telemedicine Clinic * research and education * some programs and services at 33 Russell St, call for details<br>
<br>
<b>Memory Clinic</b> -- assessment for adults 50 year and older<br>
<br>
<b>Psychogeriatric Assessment Consultation Education (PACE) Clinics</b> -- assessment and psychogeriatric consultation in client's environment * clinic services for registered clients -- counselling, support, medication monitoring and home visits * crisis services during clinic hours only * advocacy, education and family support * includes <b>Late-Life Mood Disorder Clinic</b> * <b>PACE Central/East</b> --- 33 Russell St, 2nd Fl, Rm 2043-1 * <b>PACE West</b> -- 3197 Lake Shore Blvd W, Rm G45<br>
<br>
<b>Rapid Assessment Clinic (RAC)</b> -- non-emergency psychiatric assessment<br>
<br>
<b>Cognitive Behavioural and Social Skills Training (CBSST)</b> -- group therapy for seniors with schizophrenia or related disorder<br>
<br>
<b>Late-Life Schizophrenia Clinic (LLS)</b> -- consultation and treatment for seniors with diagnosis of schizophrenia or related disorder",41312
100,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,416-535-8501 ext 4366,,www.camh.ca,"Intergenerational Wellness Centre
80 Workman Way
Toronto, ON     M6J 1H4","Niagara, 82",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * individual program hours may vary,"Most programs -- children and youth up to 17 years, with emotional, behavioural, psychological or psychiatric problems, and their families * specific eligibility for some programs -- call for details",English ; Access to trained interpreters available for French and other languages,"Referral required for most programs -- call for details * Child, Youth and Family Referral Form available online * Gender Identity Services not accepting new referrals as current clinic is closing","Assessments, treatment and referrals * treatment recommendations and consultation, including services for those involved with Youth Criminal Justice Act * outreach, prevention and education<br>
<br>
<b>Better Behaviours Service (BBS)</b> -- assessment and treatment for children with behaviour problems, including aggression, social skills difficulties, diminished academic performance and non-compliance * must not have developmental delay, serious medical illness or psychotic disorder * parent programs * individual, group and day treatment programs -- call for eligibility and referral details<br>
<br>
<b>Mood and Anxiety Disorders Service</b> -- assessment, treatment recommendations and short-term treatment * referral required<br>
<br> 
<b>Psychotic Disorders</b> -- assessment and consultation for children and youth with a referral diagnosis of a psychotic disorder or symptoms of psychosis * referral required<br>
<br>
<b>Substance Abuse Program for African Canadian and Caribbean Youth (SAPACCY)</b> -- early intervention and prevention services for Black youth, including individual and group counselling and family support * no referral required<br>
<br>
<b>Toronto Arson Prevention Program for Children (TAPP-C), www.tapp-c.com</b> -- assessment and intervention for children and youth to reduce intentional fire setting or match/lighter play * programs for parents/caregivers * referral required<br>
<br>
<b>Youth Addiction and Concurrent Disorders Service</b> -- assessment and treatment for youth and young adults with substance use challenges, with or without concurrent mental health concerns, and their families * harm reduction and individualized approach * individual and group counselling * case management",41311
101,"Vasantham, A Tamil Seniors Wellness Centre",(50) Non Profit,416-847-4172,vasantham@sherbourne.on.ca,,"Easttown Centre Plaza
2660 Eglinton Ave E
Toronto, ON     M1K 2S3","Eglinton East, 138",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features,Mon-Fri 9 am-5 pm,Tamil speakers of all ages,English ; Tamil,Drop in or call,"Health and mental health information, education and referral * elder abuse, domestic violence and addiction counselling * crisis intervention and trauma counselling * concurrent disorders group for people with mental health and addictions issues * gambling counselling * family support group * intergenerational recreation group * seniors social group * individual advocacy * leadership training * community development and capacity building * group activities * yoga * youth workshops<br><br>

Services also at satellite location -- Sherbourne Health Centre, 333 Sherbourne St, 2nd Fl, 416-324-4185",42047
102,St Michael's Hospital,(50) Non Profit,Central Intake 416-864-5120,steps@smh.ca,www.stmichaelshospital.com/programs/mentalhealth,"21 McGill St
Toronto, ON     M5B 1H3","Church-Yonge Corridor, 75",Not Accessible,Mon-Fri 9 am-5 pm,Youth 16-23 years experiencing a first episode of psychosis * may be homeless or have problems with drugs or alcohol,English ; Interpretive services,Professional or self referral,"Assessment * treatment * support with school, work, social activities * family education and support * referral to community services",41568
103,St Michael's Hospital,(50) Non Profit,Office 416-864-5346 ; Emergency Department 416-864-5094,,www.stmichaelshospital.com,"30 Bond St
Toronto, ON     M5B 1W8","Church-Yonge Corridor, 75",Bond St entrance not wheelchair accessible * Queen and Victoria St entrances wheelchair accessible * braille elevator Queen and Victoria St * entrances close to parking,Office -- Mon-Fri 8:30 am-4:30 pm * emergency services -- Mon-Fri 24 hours,People who need medical care for serious illnesses and injuries,English ; Interpretive services,No referral required,"Psychiatric emergencies -- Monday-Sunday 24 hours, accessible through emergency department (see separate listing) <br><br>

<b>Crisis Stabilization Unit</b> -- assessment, treatment and support for up to 72 hours * 3 bed unit * accessible through emergency department (see separate listing) <br> <br>

<b>Mobile Crisis Intervention Team</b> -- Monday-Sunday 1 pm-11 pm * to access team call 911 * serves Toronto Police 51 and 52 Divisions <br> <br>

<b>Community Mental Health Liaison Team</b> -- short term case management * help with basic needs such as food and shelter * help connecting with health and mental health services * accessible through emergency department (see separate listing)<br><br>

<b>Geriatric Mental Health Outreach Program</b>  416-864-6060 ext 3278 -- specialized consultation, assessment and follow up services for residents of long term care facilities with complex behavioural problems",41563
104,WoodGreen Community Services,(50) Non Profit ; (51) Registered Charity,416-645-6000 ext 2100/2200,newcomerinfo@woodgreen.org,www.woodgreen.org,"815 Danforth Ave, Ste 300
Toronto, ON     M4J 1L2","Danforth Village-Toronto, 66","Wheelchair accessible automatic main entrance ; Easy access to elevator ; Wheelchair accessible washroom, assistance needed with door ; Street parking - not designated","Mon-Thu 9 am-5 pm, Fri 9 am-12:30 pm * some evening and Saturday programs",Newcomers (immigrants and refugees) * Mentorship for Internationally Trained Professionals -- foreign-trained professionals who are landed immigrants or Convention refugees,English ; French ; Albanian ; Arabic ; Armenian ; Belorussian ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Czech ; Farsi ; Filipino ; German ; Greek ; Gujarati ; Hindi ; Hungarian ; Italian ; Japanese ; Polish ; Portuguese ; Punjabi ; Russian ; Serbian ; Spanish ; Tamil ; Turkish ; Ukrainian ; Urdu ; Vietnamese,Call for appointment or drop in,"<b>Settlement services</b> -- orientation, integration * counselling * information and referral * newcomer workshops * worker and parent network support groups * Muslim young women's group * financial literacy program * newcomer volunteer program * English Conversation Circle * Microsoft Computer Certification Program * social and recreational activities * <b>Befriending Program</b> -- matches newcomers with Canadian volunteer hosts who offer orientation to their local area and moral support in their transition to Canada<br><br>

<b><a href="" http://www.woodgreen.org/homeportal.aspx"" target=""_blank"">H.O.M.E (Housing Opportunities and Marketplace Exchange)</a></b> -- connects Syrian refugees with available housing, goods and services <br><br>

<b>Immigrant Youth Program</b> -- for youth 13-24 years * friendship and emotional support * individual support * homework club * computer camp * sports club * social and recreational activities * orientation to postsecondary education* job search support * support for at-risk newcomer youth<br><br>

<b>Mentorship for Internationally Trained Professionals</b> -- one-on-one or online program * matches internationally trained professionals with a mentor from a similar profession for cultural and professional orientation * <b>Community Connections Group Activity Program</b> -- group activities for newly arrived immigrants and refugees to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development
<br><br>

Seasonal income tax clinic -- open to all
<br><br>

Some programs and services provided off site<br><br>
Settlement Program, formerly Immigrant Settlement and Adaptation Program",42394
105,Responsible Gambling Council,(50) Non Profit ; (51) Registered Charity,416-499-9800,mail@rgco.org,www.responsiblegambling.org,"411 Richmond St E, Ste 205
Toronto, ON     M5A 3S5","Moss Park, 73",Not Accessible,Mon-Fri 9 am-5 pm,Open to all,English ; French - (limited services),,Information on treatment centres and self help groups for people with gambling problems * outreach and public awareness * prevention programs for youth * searchable e-library * interactive website * newsletter,42206
106,Empowerment Council: Systemic Advocates in Addiction and Mental Health,(50) Non Profit,416-535-8501 ext 34022,jennifer.chambers@camh.ca,www.empowermentcouncil.ca,"1001 Queen St W, Rm 160
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Clients of the Centre for Addiction and Mental Health (CAMH) * also psychiatric survivors and persons with substance use issues,English,Self-referral,"Systemic advocacy * ensures representation of the client perspective within the Centre for Addiction and Mental Health (CAMH) * education on choices, self advocacy, critical thinking and political awareness * site meetings for clients * outreach * community development * education for mental health professionals, addiction workers and community members<br><br>
Funded by CAMH, but separately incorporated and independently staffed",42201
107,Bangladeshi Canadian Community Services,(50) Non Profit ; (51) Registered Charity,416-699-4484,nakter@bangladeshi.ca,www.bangladeshi.ca,"2899 Danforth Ave
Toronto, ON     M4C 1M3","East End-Danforth, 62","Wheelchair accessible washroom, assistance needed with door ; Main entrance wheelchair accessible",Mon-Fri 9:30 am-4:30 pm,Open to all including immigrants and refugees * focus on Taylor Massey community,English ; Bengali ; Hindi ; Urdu,Call for appointment,"Settlement services * information and referral including for legal advice on refugee and immigration matters or for crisis intervention for assaulted women or men * form filling * sessions to address domestic abuse and violence * individual, couple and family counselling * job search support -- mentoring, placement, information * career counselling for internationally trained professionals * youth counselling * support groups for families
<br><br>
After School Tutoring Program (ASTP) -- for students 10-29 years, Saturdays 2-5 pm at AccessPoint on Danforth, 3079 Danforth Ave
<br><br>
Senior Services -- senior support program * workshops, accompaniment to appointments, interpreting, home supports
<br><br>
Youth Engagement Program * Youth Eliminates Smoking program",42262
108,Harriet Tubman Community Organization,(50) Non Profit,416-496-2042,info@tubmancommunity.org,www.tubmancommunity.org,"1761 Sheppard Ave E, Main Fl, Street Level
Toronto, ON     M2J 0A5","Henry Farm, 53",Wheelchair accessible automatic main entrance,Mon-Fri 12 noon-7 pm,"Focus on African-Canadian children, youth and their families",English ; French,Call for information,"Social and recreational programs * leadership program for youth 15-24 years * personal and social development for young women 13-19 years, includes information on health and sexuality * counselling for youth 14-18 years * support, information and referral for newcomers * tutoring * summer day camp * intergenerational health education and healing circles for women 17-55 years * <b>Youth Honouring Community Achievements</b> -- recognizes the contributions of the African-Canadian community * cultural and social events<br><br>

Programs offered at various locations",42200
109,Youth Unlimited,(50) Non Profit,416-383-1477,yu@youthunlimitedgta.com,www.youthunlimitedgta.ca,"57 Mobile Dr
Toronto, ON     M4A 1H5","Victoria Village, 43",Wheelchair accessible - call for details,Mon-Fri 9 am-5 pm,At risk youth 10-21 years,English,Call office,"Christian perspective, non-denominational * counselling * neighbourhood, school and street outreach * young mother's group * case management * life skills * job search skills * programs held at various locations * volunteer opportunities",42023
110,WoodGreen Community Services - WoodGreen Community Services - Community Care Unit,(50) Non Profit,416-640-1459,ccwscentralintake@woodgreen.org,www.woodgreen.org,"250 Dundas St W, Ste 305
Toronto, ON     M4J 1L2",,Not Applicable,Mon-Fri 10am-8pm * Sat-Sun 10am-6pm,Adults 55 years and older,English,Call,"Over the phone emotional support and short-term crisis management * risk and safety assessments * assistance with age-related cognitive, mental health and addiction crises * linkage to community mobile crisis outreach team as needed * information and referral to local services and supports",42305
