PublicName / Nom public,AgencyDescription / Descriptiondelorganisme,PhysicalAddress1 / Adressemunicipale1,PhysicalAddress2 / Adressemunicipale2,UpdatedOn / Misàjourle,LanguageOfRecord / Languedudossier,PhysicalCity / Villephysique,PhysicalStateProvince / Étatprovincephysique,PhysicalPostalCode / Codepostal,Latitude / Latitude,Longitude / Longitude,PhoneNumberBusinessLine / Numérodetéléphonedaffaires,PhoneTollFree / Téléphonesansfrais,PhoneTTY / TéléphoneATS,PhoneFax / Télécopieur,WebsiteAddress / Adressedusite Web,Hours / Heures,DisabilitiesAccess/ Accèspourhandicapés,FeeStructureSource / Sourcedeléchelledestarifs,ApplicationProcess / Processusdedemande,Eligibility / Admissibilité,LanguagesOfferedList / Listedeslanguesoffertes,Coverage / Portée
Northumberland Hills Hospital - Community Mental Health Services,"Offer treatment and support for individuals experiencing: depression and bipolar disorder; anxiety, phobias, panic disorders and traumatic stress; personality disorders; schizophrenia and other psychotic disorders; and mental health crisis. For the last two, see specific programs.",1011 Elgin Street West,,Jun 15 2015  2:47:00,English,Cobourg,ON,K9A 5J4,43.9715184,-78.1963124,905-377-9891,1-888-294-7579,,905-377-9895,http://www.nhh.ca/,Mon 8am-4pm * Tue 8am-4pm * Wed 8am-4pm * Thu 8am-4pm * Fri 8am-4pm *,Wheelchair accessible,Cost unknown - inquire for more information,Self Referral Assessment Documents,Individual 16 years and older. Youth younger than 16 are eligible for services in some circumstances.,English,"NorthumberlandCobourg, Northumberland"
Northumberland Hills Hospital - Community Mental Health Services,"Offre des services de traitement et de soutien aux personnes qui éprouvent des problèmes de dépression, de trouble bipolaire, d'anxiété, des phobies, de trouble panique, de stress et aussi des problèmes psychotiques.",1011 rue Elgin Ouest,,Jun 15 2015  2:47:00,French,Cobourg,ON,K9A 5J4,43.9715184,-78.1963124,905-377-9891,,,,http://www.nhh.ca/,Lun 8h-16h * Mar 8h-16h * Mer 8h-16h * Jeu 8h-16h * Ven 8h-16h *,Entièrement accessible,Coût inconnu – se renseigner pour plus d’information,Accès sans recommandation Documents d'évaluation,Personnes de 16 ans et plus. Personnes de moins de 16 sont acceptées dans certains cas.,anglais,"NorthumberlandCobourg, Northumberland"
Oakville-Trafalgar Memorial Hospital - Child and Adolescent Inpatient Unit Day Hospital,Offers day treatment counselling and therapy services to youth leaving the inpatient program,327 Reynolds Street,,Jun 12 2015  3:05:00,English,Oakville,ON,L6J 3L7,43.45268,-79.6734901,905-815-5118,,905-815-5111,905-815-5136,http://www.haltonhealthcare.on.ca,,Wheelchair accessible,Free,Medical Referral Required Health Card,Youth ages 17 and under who are leaving the inpatient program.,English,"HaltonOakville, Halton"
Oakville-Trafalgar Memorial Hospital - Child and Adolescent Inpatient Unit Day Hospital,"Offre des services de traitement de jour, de counselling et de thérapie aux jeunes  qui   quittent   le programme   en milieu hospitalier.",327 rue Reynolds,,Jun 12 2015  3:05:00,French,Oakville,ON,L6J 3L7,43.45268,-79.6734901,905-815-5118,,905-815-5111,905-815-5136,http://www.haltonhealthcare.on.ca,,Entièrement accessible,Gratuit,Recommandation médicale requise Carte santé,Jeunes de 17 ans et moins qui quittent le programme en milieu hospitalier.,anglais,"HaltonOakville, Halton"
North East Mental Health Centre - Mental Health Clinic,"Offers a wide array of mental health services with the intent to assist clients in achieving their goals, improving their overall level of functioning and quality of life. Services include but are not limited to: monitoring of psychotropic medications and medication support clinic; time limited psychotherapies and counselling focused on specific problems; psychoeducational groups: discipline specific assessments, treatment and follow up; healthy living clinic; and psychological testing.",120 King Street West,Unit A,Jun 15 2015  2:26:00,English,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-476-6240 ext 6290,,,705-494-3092,http://www.nbrhc.on.ca/about-nbrhc/facilities/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Covered by health insurance,Medical Referral Required or Self Referral  Health Card,"Males and females, age 16 and over, with a moderate to severe and persistent mental illness, within the district of Nipissing.",English,"Nipissing, Parry SoundNorth Bay, Nipissing"
North East Mental Health Centre - Mental Health Clinic,"Offre une gamme des services aux personnes qui éprouvent des problèmes de santé mentale  et qui souhaitent   améliorer leur qualité de   vie. Offre aussi des services de  surveillance de la prise des médicaments, de counselling, d'évaluation, de  psychothérapie,  des traitements  spécifiques et des services de suivi.",120 rue King Ouest,suite A,Jun 15 2015  2:26:00,French,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-476-6240 ext 6290,,,,http://www.nbrhc.on.ca/about-nbrhc/facilities/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Couvert par l’assurance-maladie,Recommandation médicale requise ou Accès sans recommandation Carte santé,Personnes de 16 ans et plus qui éprouvent des problèmes de santé mentale dans la région de Nipissing.,anglais,"Nipissing, Parry SoundNorth Bay, Nipissing"
North York General Hospital - Urgent Care Clinic,Offers assessment and counselling services to youths and teens experiencing mental health emergencies.,4001 Leslie Street,8th Floor,Jun 17 2015  1:56:00,English,North York,ON,M2K 1E1,43.7695498,-79.3632065,416-756-6642,,,,http://www.nygh.on.ca,Mon 8am-10pm * Tue 8am-10pm * Wed 8am-10pm * Thu 8am-10pm * Fri 8am-10pm * Sat 8am-10pm * Sun 8am-10pm *,Wheelchair accessible,Free,Drop In Health Card,Children and teens ages 19 and under in the Toronto area.,English,"TorontoNorth York, Toronto"
North York General Hospital - Urgent Care Clinic,Offre des service d'évaluation et de counselling aux jeunes qui éprouvent une crise de santé mentale.,4001 rue Leslie,8ème étage,Jun 17 2015  1:56:00,French,North York,ON,M2K 1E1,43.7695498,-79.3632065,416-756-6642,,,,http://www.nygh.on.ca,Lun 8h-22h * Mar 8h-22h * Mer 8h-22h * Jeu 8h-22h * Ven 8h-22h * Sam 8h-22h * Dim 8h-22h *,Entièrement accessible,Gratuit,Aucun rendez-vous requis Carte santé,Enfants et jeunes de 19 and et moins dans la région de Toronto.,anglais,"TorontoNorth York, Toronto"
North York General Hospital - Child and Adolescent Day Hospital,Offers outpatient treatment and counselling services to youths with mental health problems.,4001 Leslie Street,7th Floor,Jun 17 2015  1:57:36,English,North York,ON,M2K 1E1,43.7695498,-79.3632065,416-756-6642,,,,http://www.nygh.on.ca,Mon 8am-10pm * Tue 8am-10pm * Wed 8am-10pm * Thu 8am-10pm * Fri 8am-10pm * Sat 8am-10pm * Sun 8am-10pm *,Wheelchair accessible,Free,Medical Referral Required Health Card,Children and youths ages 19 and under who have already recieved inpatient treatment.,English,"TorontoNorth York, Toronto"
North York General Hospital - Child and Adolescent Day Hospital,Offre des services de counselling et de traitement aux enfants et jeunes qui éprouvent des problèmes de santé mentale.,4001 rue Leslie,7ème étage,Jun 17 2015  1:57:36,French,North York,ON,M2K 1E1,43.7695498,-79.3632065,416-756-6642,,,,http://www.nygh.on.ca,Lun 8h-22h * Mar 8h-22h * Mer 8h-22h * Jeu 8h-22h * Ven 8h-22h * Sam 8h-22h * Dim 8h-22h *,Entièrement accessible,Gratuit,Recommandation médicale requise Carte santé,Enfants de jeunes de 19 ans et moins qui à déja reçu des services de traitement en établissement.,anglais,"TorontoNorth York, Toronto"
Northumberland Hills Hospital - Community Mental Health Services - Early Psychosis Intervention,Offers counselling for those undergoing early psychotic episodes and/or their families.,1011 Elgin Street West,Suite 200,Jun 15 2015  2:50:00,English,Cobourg,ON,K9A 5J4,43.9715184,-78.1963124,905-377-9891,1-888-294-7579,,905-377-9895,http://www.nhh.ca,,Wheelchair accessible,Free,Self Referral No Documentation Required,Individuals in the Northumberland area.,English,"NorthumberlandCobourg, Northumberland"
Northumberland Hills Hospital - Community Mental Health Services - Early Psychosis Intervention,Offre des services de counselling (individuel et famille) aux personnes qui connaissent les premiers stades de la psychose.,1011 rue Elgin Ouest,suite 200,Jun 15 2015  2:50:00,French,Cobourg,ON,K9A 5J4,43.9715184,-78.1963124,905-377-9891,,,,http://www.nhh.ca,,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Personnes dans le comté de Northumberland.,anglais,"NorthumberlandCobourg, Northumberland"
North East Mental Health Centre - Nipissing Early Intervention in Psychosis Program,"Offers services include intake/screening, assessment and treatment for people who have had their first episode of psychosis.",120 King Street West,Unit A,Jun 15 2015  2:27:00,English,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-476-6240 ext 6290,,,705-494-3092,http://www.nbrhc.on.ca/programs-services/mental-health-programs-services/,Mon 8am-4pm * Tue 8am-4pm * Wed 8am-4pm * Thu 8am-4pm * Fri 8am-4pm *,Wheelchair accessible,Covered by health insurance,Self Referral Health Card,Individuals aged 16 to 35 who are experiencing psychosis and who have not been treated for more than one year.,"English, French","Nipissing, Parry SoundNorth Bay, Nipissing"
North East Mental Health Centre - Nipissing Early Intervention in Psychosis Program,"Offre des services d'intervention, d'évaluation et de traitement aux personnes qui connaissent les premiers stades de la psychose.",120 rue King Ouest,suite A,Jun 15 2015  2:27:00,French,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-476-6240 ext 6290,,,,http://www.nbrhc.on.ca/programs-services/mental-health-programs-services/,Lun 8h-16h * Mar 8h-16h * Mer 8h-16h * Jeu 8h-16h * Ven 8h-16h *,Entièrement accessible,Couvert par l’assurance-maladie,Accès sans recommandation Carte santé,Personnes de 16-35 ans qui connaissent les premiers stades de la psychose et qui n'a pas reçu le traitement pendant un an.,"anglais, français","Nipissing, Parry SoundNorth Bay, Nipissing"
North East Mental Health Centre - Nipissing Crisis Intervention Program,"Offers immediate crisis assessment, intervention, referrals and follow-up, as well as a 24 hour crisis line.",120 King Street West,Unit A,Aug 18 2015  3:50:42,English,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-495-8198,1-800-352-1141,,705-495-7961,http://www.nbrhc.on.ca/programs-services/mental-health-programs-services/mental-health-addictions/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Crisis Lines 24/7,Wheelchair accessible,Free,Self Referral Health Card,Individuals 16 and older in the Nipissing region.,"English, French","Nipissing, Parry SoundNorth Bay, Nipissing"
North East Mental Health Centre - Nipissing Crisis Intervention Program,"Offre des services d'évaluation, d'intervention, des références et des services de suivi aux personnes qui éprouvent une crise immédiate. Offre aussi des services de soutein par téléphone 24/7.",120 rue King Ouest,suite A,Aug 18 2015  3:50:42,French,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-495-8198,1-800-352-1141,,705-495-7961,http://www.nbrhc.on.ca/programs-services/mental-health-programs-services/mental-health-addictions/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Ligne de crise 24/7,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Personnes de 16 ans et plus dans la région de Nipissing.,"anglais, français","Nipissing, Parry SoundNorth Bay, Nipissing"
North East Mental Health Centre - Concurrent Disorders,Offers programming that combines mental health and addiction counseling to support the individual in their recovery.,120 King Street West,,Jun 15 2015  2:28:00,English,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-476-6240,,,,http://www.nbrhc.on.ca/about-nbrhc/facilities/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Covered by health insurance,Self Referral Health Card,"Males and females, age 16 and over, who are suffering from both mental health and addiction issues.",English,"Nipissing, Parry Sound"
North East Mental Health Centre - Concurrent Disorders,Offre des services de counselling et de soutien aux personnes qui éprouvent des problèmes de santé mentale et de dépendance.,120 rue King Ouest,,Jun 15 2015  2:28:00,French,North Bay,ON,P1B 5Z7,46.314948,-79.454008,705-476-6240,,,,http://www.nbrhc.on.ca/about-nbrhc/facilities/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Wheelchair Accessible,Couvert par l’assurance-maladie,Accès sans recommandation Carte santé,Personnes de 16 ans et plus qui éprouvent des problèmes de santé mentale et de dépendance.,anglais,"Nipissing, Parry Sound"
Oakville-Trafalgar Memorial Hospital - Child and Youth Outpatient Services,Offers outpatient counselling (individual and family) and assessment services to youths dealing with mental health or behavioral problems and their families.,700 Dorval Drive,6th Floor,Jun 12 2015  3:04:05,English,Oakville,ON,L6K 3V3,43.4434594,-79.6966903,905-815-5140,,905-815-5111,905-845-6419,http://www.haltonhealthcare.on.ca,,Wheelchair accessible,Free,"Medical Referral Required, Assessment Required Referral Document(s), Assessment Documents",Children ages 12-18 and their families.,English,"HaltonOakville, Halton"
Oakville-Trafalgar Memorial Hospital - Child and Youth Outpatient Services,Offre des services de counselling (individuel ou famille) et d'évaluation en consultation externe aux jeunes qui éprouvent des problèmes de santé mentale ou de comportement et leurs familles.,700 promenade Dorval,6ème étage,Jun 12 2015  3:04:05,French,Oakville,ON,L6K 3V3,43.4434594,-79.6966903,905-815-5140,,905-815-5111,905-845-6419,http://www.haltonhealthcare.on.ca,,Entièrement accessible,Gratuit,"Recommandation médicale requise, Évaluation requise Document(s) de recommandation, Documents d'évaluation",Jeunes de 12-18 ans.,Anglais,"HaltonOakville, Halton"
Oakville-Trafalgar Memorial Hospital - The Phoenix Program: Early Intervention for Psychosis Service,"Offers counselling, treatment and support services to youths and young adults experiencing the early stages of psychosis.",700 Dorval Drive,6th Floor,Jun 12 2015  3:07:00,English,Oakville,ON,L6K 3V3,43.4434594,-79.6966903,905-815-5140 ext 4900,,905-815-5111,905-815-5076,http://www.haltonhealthcare.on.ca,Mon 8am-8pm * Tue 8am-5:30pm * Wed 8am-8pm * Thu 8am-5:30pm * Fri 8am-5pm *,Wheelchair accessible,Free,Medical Referral Required Referral Document(s),People ages 14-35 in Halton region who have had no or less than 6 months of therapy for psychosis.,English,"HaltonOakville, Halton"
Oakville-Trafalgar Memorial Hospital - The Phoenix Program: Early Intervention for Psychosis Service,"Offre des services de counselling, de traitement et de soutien aux adolescents et jeunes adultes  qui   connaissent   les   premiers   stades de   la psychose",700 promenade Dorval,6ème étage,Jun 12 2015  3:07:00,French,Oakville,ON,L6K 3V3,43.4434594,-79.6966903,905-815-5140 ext 4900,,905-815-5111,905-815-5076,http://www.haltonhealthcare.on.ca,Lun 8h-20h * Mar 8h-17h30 * Mer 8h-20h * Jeu 8h-17h30 * Ven 8h-17h *,Entièrement accessible,Gratuit,Recommandation médicale requise Document(s) de recommandation,"Personnes de 14-35 ans dans la région de Halton qui n'ont jamais reçu la thérapie pour la psychose, ou seulement moins de 6 mois de thérapie.  *",anglais,"HaltonOakville, Halton"
"Ottawa Hospital Civic Campus - Day Hospital Care, Acute Partial Hospitalization Program (APHP)",Offers intensive treatment to individuals with moderate to severe mental illness to help restore functioning and independent living. Patients are seen daily in a group format for four weeks.,1053 Carling Avenue,,Jun 15 2015  2:59:00,English,Ottawa,ON,K1H 8L6,45.399544,-75.647458,613-798-5555,,,,https://www.ottawahospital.on.ca/,,Wheelchair accessible,Covered by health insurance,Self Referral Health Card,"Individuals in the Ottawa region, 16 and older.","English, French","OttawaOttawa, Ottawa"
"Ottawa Hospital Civic Campus - Day Hospital Care, Acute Partial Hospitalization Program (APHP)",Offre des services   de traitement  de jour  intensifs   (pour 4 semaines) aux personnes qui éprouvent des problèmes de santé mentale ( modérée ou  graves).    Le   traitement se concentre   sur le rétablissement de   la santé et   la vie autonome .,1053 avenue Carling,,Jun 15 2015  2:59:00,French,Ottawa,ON,K1H 8L6,45.399544,-75.647458,613-798-5555,,,,https://www.ottawahospital.on.ca/,,Entièrement accessible,Couvert par l’assurance-maladie,Accès sans recommandation Carte santé,Personnes de 16 ans et plus dans la région d'Ottawa.,"anglais, français","OttawaOttawa, Ottawa"
Orillia Soldier's Memorial Hospital - Crisis Response Services,"Offers crisis intervention services for people experiencing acute symptoms of mental illness and/or acute psychosocial distress. This includes assessment, short term follow up, and referral to other services.",170 Colborne Street West,,Aug 18 2015  5:56:19,English,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201 ext 3536,,,,http://www.osmh.on.ca/,Mon 8am-8pm * Tue 8am-8pm * Wed 8am-8pm * Thu 8am-8pm * Fri 8am-8pm * Sat 8am-4pm * Sun 8am-4pm *  Crisis service phone: 24/7,Wheelchair accessible,Free,Self Referral Health Card,Individuals 16 and older and their families,English,"SimcoeOrillia, Simcoe"
Orillia Soldier's Memorial Hospital - Crisis Response Services,"Offre des services d'intervention aux personnes qui éprouvent une crise de santé mentale grave. Offre aussi des services d'évaluation, des références et des services de suivi.",170 rue Colborne Ouest,,Aug 18 2015  5:56:19,French,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201 ext 3536,,,,http://www.osmh.on.ca/,Lun 8h-20h * Mar 8h-20h * Mer 8h-20h * Jeu 8h-20h * Ven 8h-20h * Sam 8h-16h * Dim 8h-16h *  Ligne de crise 24/7,Entièrement accessible,Gratuit,Accès sans recommandation Carte santé,Personnes de 16 ans et plus et leurs familles.,anglais,"SimcoeOrillia, Simcoe"
Orillia Soldier's Memorial Hospital - Day Hospital,"Offers interventions for acute symptoms of mental illness or psychosocial stressors that interfere with daily living as an alternative to an in-patient admission. Averages three weeks in length, with the expectation that patients attend daily from Monday to Friday.",170 Colborne Street West,,Jun 16 2015  2:07:00,English,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201,,,,http://www.osmh.on.ca/,24/7,Wheelchair accessible,Covered by health insurance,Medical Referral Required Health Card,Individuals 16 and older,English,"SimcoeOrillia, Simcoe"
Orillia Soldier's Memorial Hospital - In-Patient Services,Offre un programme de traitement de jour de 3 semaines (lundi-vendredi) aux personnes qui éprouvent des problèmes de santé mentale graves comme  une alternative au  traitement résidentiel.,170 rue Colborne Ouest,,Jun 16 2015  2:07:00,French,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201,,,,http://www.osmh.on.ca/,24/7,Entièrement accessible,Couvert par l’assurance-maladie,Recommandation médicale requise Carte santé,Personnes de 16 ans et plus.,anglais,"SimcoeOrillia, Simcoe"
Orillia Soldier's Memorial Hospital - In-Patient Services,"Offers in-patient mental health care with a focus on short term assessment, stabilization and active treatment.",170 Colborne Street West,,Jun 16 2015  2:16:00,English,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201 ext 6395,,,,http://www.osmh.on.ca/,24/7,Wheelchair accessible,Covered by health insurance,Medical Referral Required Health Card,Individuals 16 and older,English,"SimcoeOrillia, Simcoe"
Orillia Soldier's Memorial Hospital - In-Patient Services,"Offre des services de d'évaluation, de stabilisation et de traitement à court terme en établissement aux personnes qui éprouvent des problèmes de santé mentale.",170 rue Colborne Ouest,,Jun 16 2015  2:16:00,French,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201 ext 6395,,,,http://www.osmh.on.ca/,24/7,Inconnu,Couvert par l’assurance-maladie,Recommandation médicale requise Carte santé,Personnes de 16 ans et plus.,anglais,"SimcoeOrillia, Simcoe"
Orillia Soldiers' Memorial Hospital - Community Mental Health Services,"Offers primary mental health care including health education, counseling and treatment for people who suffer from a serious mental illness.",170 Colborne Street West,,Jun 16 2015  2:12:00,English,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201 ext 6395,,,,http://www.osmh.on.ca/,Mon 8am-4pm * Tue 8am-4pm * Wed 8am-4pm * Thu 8am-4pm * Fri 8am-4pm *,Wheelchair accessible,Cost unknown - inquire for more information,Self Referral Documents not specified - inquire for more information,Individuals 16 and older,English,"SimcoeOrillia, Simcoe"
Orillia Soldiers' Memorial Hospital - Community Mental Health Services,"Offre des services de counselling, d'éducation et de traitement aux personnes qui éprouvent des problèmes de santé mentale graves.",170 rue Colborne Ouest,,Jun 16 2015  2:12:00,French,Orillia,ON,L3V 2Z3,44.605089,-79.425605,705-325-2201 ext 6395,,,,http://www.osmh.on.ca/,Lun 8h-16h * Mar 8h-16h * Mer 8h-16h * Jeu 8h-16h * Ven 8h-16h *,Entièrement accessible,Coût inconnu – se renseigner pour plus d’information,Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Personnes de 16 ans et plus,anglais,"SimcoeOrillia, Simcoe"
Ontario Shores Centre For Mental Health Sciences - Adolescent Day Treatment,"Offers day treatment services to youths dealing with mental health issues. Services include counselling, therapy and life skills education.",700 Gordon Street,,Jun 12 2015  1:09:31,English,Whitby,ON,L1N 5S9,43.8484247,-78.9457262,877-767-9642,1-800-341-6323,,905-430-4032,http://www.ontarioshores.ca,,Wheelchair accessible,Free,"Professional (non-medical) Referral Required, Self Referral Documents not specified - inquire for more information",Youth ages 14-18 in Durham region.,English,"DurhamWhitby, Durham"
Ontario Shores Centre For Mental Health Sciences - Adolescent Day Treatment,"Offre des services de traitement de jour aux jeunes qui éprouvent des problèmes de santé mentale. Offre aussi des services de counselling, de thérapie et de formation en dynamique de la vie.",700 rue Gordon,,Jun 12 2015  1:09:31,French,Whitby,ON,L1N 5S9,43.8484247,-78.9457262,877-767-9642,1-800-341-6323,,905-430-4032,http://www.ontarioshores.ca,,Entièrement accessible,Gratuit,"Recommandation professionnelle (non-médicale) requise, Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information",Jeunes de 14-18 ans dans la région de Durham.,anglais,"DurhamWhitby, Durham"
Ontario Shores Centre For Mental Health Sciences - The Mood and Anxiety Program (MAP),Offers individual counselling services with an interdisciplinary team to youth who are dealing with anxiety and behavioral problems.,700 Gordon Street,,Jun 12 2015  1:11:02,English,Whitby,ON,L1N 5S9,43.8484247,-78.9457262,905-430-4055,1-800-341-6323,,905-430-4032,http://www.ontarioshores.ca,,Wheelchair accessible,Free,Professional (non-medical) Referral Required Documents not specified - inquire for more information,Youths under age 18 in Durham region.,English,"DurhamWhitby, Durham"
Ontario Shores Centre For Mental Health Sciences - The Mood and Anxiety Program (MAP),Offre des services de counselling individuel par  une équipe interdisciplinaire aux jeunes qui éprouvent des problèmes d'anxiété et de comportement.,700 rue Gordon,,Jun 12 2015  1:11:02,French,Whitby,ON,L1N 5S9,43.8484247,-78.9457262,905-430-4055,1-800-341-6323,,905-430-4032,http://www.ontarioshores.ca,,Entièrement accessible,Gratuit,Recommandation professionnelle (non-médicale) requise Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes de 18 ans et moins,anglais,"DurhamWhitby, Durham"
Ottawa Hospital Civic Campus - On Track - Champlain Regional First Episode Psychosis Program,"Offers treatment for those experiencing symptoms of psychosis or possible early symptoms of a psychotic illness. Care includes case management, assessment and treatment, family and patient education and support.",208-1355 Bank Street,,Jun 15 2015  3:02:00,English,Ottawa,ON,K1H 8K7,45.3879831,-75.6752122,613-737-8069 ext 0,1-888-737-8069,,613-737-8318,https://www.ottawahospital.on.ca/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Covered by health insurance,Self Referral Health Card,Individuals in the Ottawa region ages 16 to 35 who are  experiencing symptoms of psychosis or possible early symptoms of a psychotic illness.,"English, French","OttawaOttawa, Ottawa"
Ottawa Hospital Civic Campus - On Track - Champlain Regional First Episode Psychosis Program,"Offre des services d'intervention, d'évaluation et de traitement aux personnes qui connaissent les premiers stades de la psychose. Offre aussi des services de gestion de cas, de soutien et d'éducation.",208-1355 rue Bank,,Jun 15 2015  3:02:00,French,Ottawa,ON,K1H 8K7,45.3879831,-75.6752122,613-737-8069 ext 0,,,,https://www.ottawahospital.on.ca/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Couvert par l’assurance-maladie,Accès sans recommandation Carte santé,Personnes de 16-35 ans qui connaissent les premiers stades de la psychose.,"anglais, français","OttawaOttawa, Ottawa"
Ouellette Campus Hospital - Acute Mental Health Program,Offers intervention and outpatient care to those suffering acute mental health challenges.,1030 Ouellette Avenue,,Jun 12 2015  1:38:00,English,Windsor,ON,N9E 1A1,42.261726,-83.0032853,519-254-5577 ext 37930,,,519-973-1691,http://www.wrh.on.ca/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *  24/7 Crisis Line,Wheelchair accessible,Free,Self Referral Health Card,People age 16 years and older dealing with mental health problems.,"English, French","EssexWindsor, Essex"
Windsor Regional Hospital - Acute Mental Health Program,Offre des services d'intervention et des services de consultation externes aux individus qui éprouvent des problèmes de santé mentale graves.,"2220, chemin Kildare",,Jun 12 2015  1:38:00,French,Windsor,ON,N9A 1E1,42.261726,-83.0032853,519-254-5577 ext 37930,,,519-973-1691,http://www.wrh.on.ca/,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *  Ligne de crise disponible 24/7,Entièrement accessible,Gratuit,Accès sans recommandation Carte santé,Jeunes de 16 ans et plus qui éprouvent des problèmes de santé mentale.,"anglais, français","EssexWindsor, Essex"
Parkwood Institute - Adolescent Psychiatry Program,"Offers counselling, assesments and treatment for youths dealing with mental illness and pyschiatric issues.",550 Wellington Road,,Jun 15 2015 12:32:00,English,London,ON,N6C 0A7,42.9554224,-81.2295513,519-646-6100 ext 48600,,,,https://www.sjhc.london.on.ca/,Mon 8:30pm-4:30pm * Tue 8:30pm-4:30pm * Wed 8:30pm-4:30pm * Thu 8:30pm-4:30pm * Fri 8:30pm-4:30pm *,Wheelchair accessible,Free,Professional (non-medical) Referral Required Documents not specified - inquire for more information,Youth ages 13-18 in Southwestern Ontario.,English,"Essex, Elgin, MiddlesexLondon, Middlesex, Lambton"
Parkwood Institute - Adolescent Psychiatry Program,"Offre des services de traitement, de counselling et des évaluations aux jeunes qui éprouvent des problèmes psychiatriques et de santé mentale.",550 chemin Wellington,,Jun 15 2015 12:32:00,French,London,ON,N6C 0A7,42.9554224,-81.2295513,519-646-6100 ext 48600,,,,https://www.sjhc.london.on.ca/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Recommandation professionnelle (non-médicale) requise Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes de 13-18 ans dans la sud-ouest de l'Ontario.,anglais,"Essex, Elgin, MiddlesexLondon, Middlesex, Lambton"
Ouellette Campus Hospital - Mental Health Outpatient Wellness Program,Offers outpatient mental health counselling services.,1030 Ouellette Avenue,1st Floor,Aug 24 2015  7:20:47,English,Windsor,ON,N9E 1A1,42.262713,-83.0039186,519-973-4411 ext 33832,,,519-973-1691,http://www.wrh.on.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Free,Professional (non-medical) Referral Required Health Card,"Individuals dealing with mental health issues. Referrals are made through the Crisis Workers, PAN's or other Emergency Department staff.",English,"EssexWindsor, Essex"
